t[s],p_sum[MPa],p_diff[MPa],p1[MPa],p2[MPa],p1_cmd[MPa],p2_cmd[MPa],theta[rad],theta[deg],z[m],dz[m]
1.030040717124938965e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129873275756835938e-01,-2.096891403198242188e-03
1.030537223815917969e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129904270172119141e-01,-2.093791961669921875e-03
1.031048512458801270e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129904270172119141e-01,-2.093791961669921875e-03
1.031523203849792480e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129734396934509277e-01,-2.110779285430908203e-03
1.032024526596069336e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200224585217430917e-01,6.876780320079860509e+00,8.129734396934509277e-01,-2.110779285430908203e-03
1.032543540000915527e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199480671084104805e-01,6.872518006063888407e+00,8.129564523696899414e-01,-2.127766609191894531e-03
1.033035087585449219e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199480671084104805e-01,6.872518006063888407e+00,8.129564523696899414e-01,-2.127766609191894531e-03
1.033526372909545898e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199480671084104805e-01,6.872518006063888407e+00,8.129711151123046875e-01,-2.113103866577148438e-03
1.034035420417785645e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199480671084104805e-01,6.872518006063888407e+00,8.129711151123046875e-01,-2.113103866577148438e-03
1.034528136253356934e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201953501353215242e-01,6.886686279851111259e+00,8.129658102989196777e-01,-2.118408679962158203e-03
1.035030293464660645e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201953501353215242e-01,6.886686279851111259e+00,8.129658102989196777e-01,-2.118408679962158203e-03
1.035573434829711914e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201953501353215242e-01,6.886686279851111259e+00,8.129882216453552246e-01,-2.095997333526611328e-03
1.036068272590637207e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.201953501353215242e-01,6.886686279851111259e+00,8.129882216453552246e-01,-2.095997333526611328e-03
1.036574435234069824e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200863803992732182e-01,6.880442773880888652e+00,8.129793405532836914e-01,-2.104878425598144531e-03
1.037038207054138184e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200863803992732182e-01,6.880442773880888652e+00,8.129793405532836914e-01,-2.104878425598144531e-03
1.037543821334838867e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200863803992732182e-01,6.880442773880888652e+00,8.129838109016418457e-01,-2.100408077239990234e-03
1.038044571876525879e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.200863803992732182e-01,6.880442773880888652e+00,8.129838109016418457e-01,-2.100408077239990234e-03
1.038553357124328613e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199992046104345761e-01,6.875447969104711454e+00,8.129526376724243164e-01,-2.131581306457519531e-03
1.039063453674316406e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199992046104345761e-01,6.875447969104711454e+00,8.129526376724243164e-01,-2.131581306457519531e-03
1.039522957801818848e+01,5.000000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,2.500000000000000000e-01,1.199992046104345761e-01,6.875447969104711454e+00,8.128396868705749512e-01,-2.244532108306884766e-03
